Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
SE MARINE DR & ST GEORGE ST,Casualty,VANCOUVER,2016,4,49.211023,-123.094231
SE MARINE DR & ST GEORGE ST,Casualty,VANCOUVER,2020,1,49.211023,-123.094231
FRASER ST & SE MARINE DR,Casualty,VANCOUVER,2016,32,49.211023,-123.091135
CHESTER ST & SE MARINE DR,Casualty,VANCOUVER,2016,7,49.211036,-123.089575
PRINCE ALBERT ST & SE MARINE DR,Casualty,VANCOUVER,2020,1,49.211056,-123.088239
BORDEN ST & SE MARINE DR,Casualty,VANCOUVER,2016,11,49.211071,-123.074013
BORDEN ST & SE MARINE DR,Casualty,VANCOUVER,2020,3,49.211071,-123.074013
KNIGHT ST & KNIGHT ST BRIDGE & SE MARINE DR & SE MARINE DR OFFRAMP & SE MARINE DR ONRAMP & BUS RAMP,Casualty,VANCOUVER,2016,127,49.211079,-123.077129
SE MARINE DR & WINDSOR ST,Casualty,VANCOUVER,2020,3,49.211096,-123.085779
CROMPTON ST & SE MARINE DR,Casualty,VANCOUVER,2020,1,49.211105,-123.080694
ROSS ST & SE MARINE DR,Casualty,VANCOUVER,2016,13,49.211117,-123.083233
ROSS ST & SE MARINE DR,Casualty,VANCOUVER,2020,9,49.211117,-123.083233
GRANVILLE ST & W 66TH AVE,Casualty,VANCOUVER,2016,1,49.211372,-123.140432
CHAMPLAIN CRES & FLAGSTAFF PL & LAVAL PL & MARQUETTE CRES,Casualty,VANCOUVER,2020,1,49.211471,-123.029444
BEATTY ST & ROBSON ST,Property damage only,VANCOUVER,2020,1,49.277588,-123.113963
ADANAC ST & CLARK DR,Property damage only,VANCOUVER,2020,3,49.277667,-123.077246
HAMILTON ST & MAINLAND ST & SMITHE ST,Property damage only,VANCOUVER,2020,8,49.277772,-123.117489
DAVIE ST & HOWE ST,Property damage only,VANCOUVER,2020,16,49.277802,-123.127193
EXPO BLVD & GRIFFITHS WAY,Property damage only,VANCOUVER,2020,4,49.277891,-123.110374
NELSON ST & RICHARDS ST,Property damage only,VANCOUVER,2020,11,49.277982,-123.121081
BURRARD ST & DRAKE ST & MAXINE LANE,Property damage only,VANCOUVER,2020,2,49.278036,-123.130786
DAVIE ST & HORNBY ST,Property damage only,VANCOUVER,2020,12,49.278405,-123.128134
HOMER ST & SMITHE ST,Property damage only,VANCOUVER,2020,19,49.278437,-123.118448
E GEORGIA ST & JACKSON AVE,Property damage only,VANCOUVER,2020,1,49.278464,-123.093548
COMMERCIAL DR & E GEORGIA ST,Property damage only,VANCOUVER,2020,1,49.278482,-123.070471
ABBOTT ST & EXPO BLVD & PAT QUINN WAY,Property damage only,VANCOUVER,2020,8,49.278645,-123.107641
BEATTY ST & W GEORGIA ST,Property damage only,VANCOUVER,2020,2,49.27871,-123.112254
RICHARDS ST & SMITHE ST,Property damage only,VANCOUVER,2020,11,49.279049,-123.119478
CARRALL ST & KEEFER PL & KEEFER ST,Property damage only,VANCOUVER,2020,1,49.279226,-123.104464
HOMER ST & ROBSON ST,Property damage only,VANCOUVER,2020,4,49.279473,-123.116882
BURNABY ST & THURLOW ST,Property damage only,VANCOUVER,2020,6,49.279657,-123.132241
BEATTY ST & DUNSMUIR ST & DUNSMUIR VIADUCT,Property damage only,VANCOUVER,2020,7,49.279839,-123.110537
PANTAGES LANE & THURLOW ST,Property damage only,VANCOUVER,2020,1,49.280018,-123.131731
E 3RD AVE & QUEBEC ST,Casualty,VANCOUVER,2019,1,49.268241,-123.102752
E 3RD AVE & ONTARIO ST & W 3RD AVE,Casualty,VANCOUVER,2019,2,49.268301,-123.104686
W 4TH AVE,Casualty,VANCOUVER,2018,1,49.268455,-123.174783
ADANAC ST & CASSIAR ST,Casualty,VANCOUVER,2016,1,49.277431,-123.030769
ADANAC ST & PENTICTON ST,Casualty,VANCOUVER,2016,1,49.277471,-123.052013
ADANAC ST & RUPERT ST,Casualty,VANCOUVER,2016,1,49.277445,-123.03361
ADANAC ST & SLOCAN ST,Casualty,VANCOUVER,2016,1,49.277468,-123.049365
ADERA ST & SW MARINE DR,Casualty,VANCOUVER,2016,1,49.208571,-123.143732
ALBERNI ST & CHILCO ST,Casualty,VANCOUVER,2016,1,49.294077,-123.137319
ALBERNI ST & GILFORD ST,Casualty,VANCOUVER,2016,1,49.293185,-123.135968
ALBERTA ST & W 16TH AVE,Casualty,VANCOUVER,2016,1,49.256791,-123.111183
ALBERTA ST & W 5TH AVE,Casualty,VANCOUVER,2016,1,49.2666,-123.11081
ALBERTA ST & W 8TH AVE,Casualty,VANCOUVER,2016,1,49.263875,-123.11092
ALDER ST & W 10TH AVE,Casualty,VANCOUVER,2016,1,49.262521,-123.131416
ALDER ST & W 13TH AVE,Casualty,VANCOUVER,2016,1,49.259709,-123.131521
ALDER ST & W 14TH AVE,Casualty,VANCOUVER,2016,1,49.258796,-123.131553
ALDER ST & W 6TH AVE,Casualty,VANCOUVER,2016,1,49.266081,-123.131241
ALEXANDER ST & COLUMBIA ST,Casualty,VANCOUVER,2016,1,49.283791,-123.102162
ANDERSON ST & JOHNSTON ST,Casualty,VANCOUVER,2016,1,49.271914,-123.135012
ANDERSON ST & LAMEYS MILL RD,Casualty,VANCOUVER,2016,1,49.26933,-123.137797
ANDERSON ST & W 3RD AVE,Casualty,VANCOUVER,2016,1,49.268775,-123.138191
ANGUS DR & W 37TH AVE,Casualty,VANCOUVER,2016,1,49.238132,-123.146395
ANGUS DR & W 57TH AVE,Casualty,VANCOUVER,2016,1,49.219452,-123.14825
ANZIO DR & E 22ND AVE & SKEENA ST,Casualty,VANCOUVER,2016,1,49.250625,-123.028522
ARBOR AVE & BOUNDARY RD,Casualty,VANCOUVER,2016,1,49.217464,-123.023802
ARBOR AVE & MATHESON CRES & TALON SQ,Casualty,VANCOUVER,2016,1,49.217415,-123.025078
ARBUTUS ST & W 19TH AVE,Casualty,VANCOUVER,2016,1,49.255295,-123.152983
ARBUTUS ST & W 7TH AVE,Casualty,VANCOUVER,2016,1,49.265582,-123.152874
